X,Plate,Sample.Code,OleicAc.concentration.molarity,Oleylamine.concentration.molarity,CdAc.concentration.molarity,Se.concentration.molarity,Run_1_peak_position,Run_1_abs_avg,Run_1_Diameter,Run_2_peak_position,Run_2_peak_abs_avg,Run_2_Diameter,Run_3_peak_position,Run_3_peak_abs_avg,Run_3_Diameter,Avg_peak_position,Std_dev_peak_position,Avg_peak_intensity,Std_dev_peak_intensity,Avg_diameter,Std_dev_diameter,Run_1_FL_Peak_Intensity,Run_1_FL_Peak_Position,Run_2_FL_Peak_Intensity,Run_2_FL_Peak_Position,Run_3_FL_Peak_Intensity,Run_3_FL_Peak_Position,Avg_FL_Peak_Position,Avg_FL_Peak_Intensity,Std_dev_Peak_Position,Std_dev_Peak_Intensity,Run_1_Stokes_shift,Run_2_Stokes_shift,Run_3_Stokes_shift,Avg_Stokes_shift,Std_dev_Stokes_shift
30,1,1-C7,0.125,0,0.025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,1-C8,0.125,0,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2735,606,952,585,1867,443,544.6666667,1851.333333,88.66979944,727.9909951,NA,NA,NA,NA,NA
32,1,1-C9,0.125,0,0.025,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3723,631,503,602,1740,605,612.6666667,1988.666667,15.94783162,1326.267025,NA,NA,NA,NA,NA
33,1,1-C10,0.125,0,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3155,615,1177,463,2205,603,560.3333333,2179,84.50641001,807.7243754,NA,NA,NA,NA,NA
34,1,1-C11,0.125,0,0.025,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3558,639,394,696,2501,599,644.6666667,2151,48.74764952,1315.193015,NA,NA,NA,NA,NA
35,1,1-C12,0.125,0,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1-D1,0.125,0,0.05,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2832,607,509,690,1812,617,638,1717.666667,45.31004304,950.703716,NA,NA,NA,NA,NA
37,1,1-D2,0.125,0,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3732,614,3258,440,2251,624,559.3333333,3080.333333,103.4665808,617.5296664,NA,NA,NA,NA,NA
38,1,1-D3,0.125,0,0.05,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4139,620,793,605,2351,662,629,2427.666667,29.54657341,1367.074086,NA,NA,NA,NA,NA
39,1,1-D4,0.125,0,0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4536,620,436,490,2417,610,573.3333333,2463,72.34178138,1674.134005,NA,NA,NA,NA,NA
