UV_ind,FL_ind,UV_PP,UV_PI,FL_PP,FL_PI,FL_SS
1,1,377.5,0.634,508.6666667,638.0,139.0
1,1,378.0,0.681333333,573.6666667,458.0,135.5
0,0,,,,,
0,1,,,558.0,1321.0,
0,1,,,526.0,453.3333333,
1,1,379.0,0.554,554.6666667,1046.0,79.0
1,1,379.0,0.545,501.6666667,828.0,127.0
0,0,,,,,
0,1,,,511.3333333,719.6666667,
0,1,,,579.6666667,404.0,
0,1,,,558.6666667,977.6666667,
0,1,,,547.0,408.0,
0,0,,,,,
0,1,,,493.6666667,2591.0,
0,1,,,564.3333333,2242.666667,
0,1,,,511.3333333,748.6666667,
0,1,,,659.6666667,239.3333333,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,507.3333333,1046.666667,
1,1,378.0,0.804,523.3333333,747.6666667,138.5
1,1,378.0,0.888666667,504.0,3330.333333,135.0
1,1,377.5,0.870666667,516.3333333,880.3333333,142.5
0,0,,,,,
0,1,,,532.3333333,719.3333333,
0,1,,,577.3333333,655.6666667,
1,1,377.5,0.839333333,538.6666667,832.0,132.0
1,1,377.5,0.869333333,511.6666667,1034.0,128.5
0,0,,,,,
0,1,,,540.3333333,549.3333333,
0,1,,,507.6666667,2927.666667,
1,1,378.0,0.816666667,469.3333333,4681.666667,100.0
1,1,378.0,0.897166667,508.6666667,1344.333333,143.5
0,0,,,,,
0,1,,,549.3333333,5142.0,
0,1,,,532.0,1124.666667,
1,1,378.0,0.776,581.6666667,651.6666667,135.0
1,1,378.0,0.800333333,532.3333333,942.3333333,123.0
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,513.0,1130.333333,
0,1,,,579.3333333,681.6666667,
1,1,417.0,1.001,516.0,1695.0,53.0
1,1,378.0,0.955666667,499.3333333,1572.666667,113.0
0,0,,,,,
0,1,,,517.0,1409.666667,
0,1,,,519.6666667,973.3333333,
0,1,,,504.0,1560.0,
1,1,378.0,0.927833334,514.3333333,1203.0,135.5
0,0,,,,,
0,1,,,533.0,732.0,
0,1,,,514.6666667,1168.333333,
1,1,378.0,0.875,500.0,1913.333333,89.0
1,1,378.5,0.904333333,507.3333333,1666.0,111.5
0,0,,,,,
0,1,,,502.0,1976.333333,
0,1,,,518.3333333,1100.666667,
1,1,377.0,0.815,510.6666667,1723.0,89.0
1,1,377.5,0.886833334,513.3333333,1576.666667,122.5
